                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6922,                 3.9337,                 3.6074,                 1.6221,                0.30882,                0.42021,                0.33968,                0.23232,                0.28085,                0.36634,                0.30353,                0.15414,                 1.5762,                 3.1747,                  3.819,                 1.6369,             0.00027016,             0.00027016,             0.00027016
                      2,                 1.2851,                 2.7923,                 1.6868,                 1.2939,                0.46148,                0.48473,                0.46848,                0.30583,                0.37367,                0.37656,                0.34631,                0.18706,                 1.4964,                  3.022,                 2.1256,                 1.5013,             0.00053698,             0.00053698,             0.00053698
                      3,                 1.2161,                 2.5081,                 1.3871,                 1.2465,                0.54498,                0.57371,                 0.5706,                0.36309,                0.52072,                0.53554,                 0.5194,                0.27447,                 1.4088,                 2.7616,                 1.8764,                 1.4514,             0.00079281,             0.00079281,             0.00079281
                      4,                 1.2064,                  2.421,                 1.2629,                 1.2259,                0.67002,                0.62326,                0.65995,                0.42943,                0.60295,                0.57015,                0.55698,                0.29356,                 1.3612,                 2.6523,                 1.6965,                 1.4146,             0.00078352,             0.00078352,             0.00078352
                      5,                  1.181,                 2.2963,                 1.1406,                 1.2123,                0.64764,                0.62473,                0.66191,                 0.4277,                0.57254,                0.58243,                0.57139,                0.29496,                 1.3663,                 2.6687,                 1.4403,                 1.4091,             0.00078352,             0.00078352,             0.00078352
                      6,                  1.141,                 2.1966,                 1.1034,                 1.1945,                0.69749,                 0.6868,                0.70747,                0.48092,                0.69671,                0.67297,                0.67844,                0.37829,                 1.2569,                 2.2857,                 1.1807,                 1.3311,             0.00076703,             0.00076703,             0.00076703
                      7,                 1.1022,                 2.0811,                 1.0208,                 1.1696,                0.76122,                0.68979,                0.73463,                0.48038,                0.72217,                0.67042,                0.69087,                0.39054,                 1.2876,                 2.2457,                 1.1282,                 1.3398,             0.00075053,             0.00075053,             0.00075053
                      8,                 1.0882,                 2.0427,                0.97445,                 1.1583,                0.72521,                0.69081,                0.72718,                0.49427,                  0.721,                0.67612,                  0.701,                0.40149,                 1.2325,                 2.1803,                 1.1214,                 1.3102,             0.00073404,             0.00073404,             0.00073404
                      9,                 1.0556,                 1.9753,                0.93749,                 1.1392,                0.77262,                0.68633,                0.73675,                0.50574,                 0.7212,                0.64187,                0.65743,                0.37091,                 1.2357,                 2.2581,                 1.1175,                 1.3166,             0.00071755,             0.00071755,             0.00071755
                     10,                 1.0558,                  1.946,                 0.9091,                  1.128,                 0.7576,                0.72514,                0.74848,                0.50736,                0.73637,                0.70741,                0.71137,                0.40387,                 1.1948,                 2.1109,                 1.0867,                 1.2624,             0.00070105,             0.00070105,             0.00070105
